Malta,80778,110580,1083,35.9375,14.3754
Mauritania,290019,445391,12069,21.0079,-10.9408
Mauritius,43954,51218,1501,-20.348404,57.552152
Mexico,24951572,32106630,3596730,23.6345,-102.5528
Moldova,1352689,2164908,68008,47.4116,28.3699
Monaco,12499,16724,561,43.7333,7.4167
Mongolia,18967,27063,0,46.8625,103.8467
Montenegro,119399,203891,3788,42.708678,19.37439
Morocco,1666758,2353969,45097,31.7917,-7.0926
Mozambique,56629,149792,951,-18.6657,35.5296
MS Zaandam,0,1376,304,0,0
Namibia,51522,166850,1152,-22.9576,18.4904
Nepal,886096,1584380,5291,28.1667,84.25
Netherlands,31705,7298172,833004,21.40884,-52.99206
New Zealand,201696,231160,2929,-40.9006,174.886
Nicaragua,182944,276509,9189,12.865416,-85.207229
Niger,115256,141648,8294,17.607789,8.081666
Nigeria,1726321,3273692,71918,9.082,8.6753
North Macedonia,507517,861905,39452,41.6086,21.7453
Norway,848638,1344578,34483,60.472,8.4689
Oman,3931893,5353487,30259,21.512583,55.923255
Pakistan,15912973,22579737,472868,30.3753,69.3451
Panama,2990307,5035491,109764,8.538,-80.7821
Papua New Guinea,4457,10168,106,-6.314993,143.95555
Paraguay,276032,480950,6206,-23.4425,-58.4438
Peru,22788482,36625820,1457573,-9.19,-75.0152
Philippines,3871401,8084239,197820,12.879721,121.774017
Poland,2778477,4625466,181060,51.9194,19.1451
Portugal,3138463,5681725,206771,39.3999,-8.2245
Qatar,8452187,10264233,13459,25.3548,51.1839
Romania,2488431,4641539,238205,45.9432,24.9668
Russia,49430748,76245076,1141243,61.52401,105.318756
Rwanda,88053,158850,471,-1.9403,29.8739
Saint Kitts and Nevis,1857,2350,0,17.357822,-62.782998
Saint Lucia,2680,3097,0,13.9094,-60.9789
Saint Vincent and the Grenadines,3741,4700,0,12.9843,-61.2872
San Marino,64154,98814,6514,43.9424,12.4578
Sao Tome and Principe,43447,76900,1459,0.1864,6.6131
Saudi Arabia,17353085,22373593,218068,23.885942,45.079162
Senegal,548880,866390,15438,14.4974,-14.4524
Serbia,735730,2351565,51024,44.0165,21.0059
Seychelles,4981,8269,0,-4.6796,55.492
Sierra Leone,108670,161320,6512,8.460555,-11.779889
Singapore,4101528,5371913,3359,1.2833,103.8333
Slovakia,188017,273955,3747,48.669,19.699
Slovenia,177667,267953,15648,46.1512,14.9955
Somalia,128462,317001,10185,5.152149,46.199616
South Africa,20723493,30400526,558170,-30.5595,22.9375
South Sudan,64451,202414,3597,6.877,31.307
Spain,20206367,39243794,4007593,40.463667,-3.74922
Sri Lanka,199185,265158,1488,7.873054,80.771797
Sudan,456058,1003166,62158,12.8628,30.2176
Suriname,83799,126675,2182,3.9193,-56.0278
Sweden,0,7703651,681846,60.128161,18.643501
Switzerland,4077483,4982249,275560,46.8182,8.2275
Syria,20946,74094,3218,34.8021,38.9968
Tajikistan,492843,653082,6080,38.861,71.2761
Tanzania,22951,66633,2699,-6.369028,34.888822
Thailand,420479,480812,8261,15.870032,100.992541
Timor-Leste,2930,3343,0,-8.8742,125.7275
Togo,55425,85722,2116,8.6195,0.8248
Trinidad and Tobago,17204,35858,1322,10.6918,-61.2225
Tunisia,130728,201087,7229,33.886917,9.537499
Turkey,21098264,26295764,668101,38.9637,35.2433
Uganda,78825,113242,450,1.373333,32.290275
Ukraine,3020227,6321752,155242,48.3794,31.1656
United Arab Emirates,4339932,5838009,37708,23.424076,53.847818
United Kingdom,177053,37558290,5197085,24.54817255,-43.90224236
Uruguay,112476,142724,3776,-32.5228,-55.7658
US,116643196,402506232,16850308,40,-100
Uzbekistan,1324372,1795812,10359,41.377491,64.585262
Venezuela,871936,1459409,12958,6.4238,-66.5897
Vietnam,49029,69694,606,14.058324,108.277199
West Bank and Gaza,372851,775920,5064,31.9522,35.2332
Western Sahara,920,1241,97,24.2155,-12.8858
Yemen,57048,129701,35607,15.552727,48.516388
Zambia,339210,430063,10560,-13.133897,27.849332
Zimbabwe,105470,219547,5016,-19.015438,29.154857
